energy,Class
121.112564,dogal
199.71588,dogal
218.58989,dogal
131.07619,dogal
82.54219,dogal
85.51433,dogal
171.63342,dogal
143.02419,dogal
73.84449,dogal
567.70624,dogal
91.9962,dogal
159.94368,dogal
94.03261,dogal
62.98722,dogal
221.12659,dogal
171.53996,dogal
244.23717,dogal
104.72272,dogal
122.416214,dogal
84.88444,dogal
341.1108,dogal
129.48578,dogal
289.47855,dogal
149.75194,dogal
130.21678,dogal
201.04022,dogal
206.99745,dogal
148.58952,dogal
69.041214,dogal
118.63147,dogal
177.89586,dogal
154.42438,dogal
49.20671,dogal
501.6685,dogal
129.26607,dogal
150.64856,dogal
99.62354,dogal
55.86159,dogal
179.1849,dogal
182.67029,dogal
215.21083,dogal
123.01384,dogal
112.933395,dogal
122.24432,dogal
349.4072,dogal
133.70041,dogal
327.06723,dogal
134.57736,dogal
153.65872,dogal
329.15338,dogal
236.91165,dogal
140.99582,dogal
104.33074,dogal
121.32199,dogal
213.91217,dogal
178.78452,dogal
55.66301,dogal
747.19434,dogal
120.753975,dogal
211.5179,dogal
99.22099,dogal
89.48818,dogal
229.0881,dogal
282.62628,dogal
268.27402,dogal
106.05334,dogal
117.89259,dogal
104.85288,dogal
379.8438,dogal
160.53276,dogal
363.5297,dogal
173.57335,dogal
138.97084,dogal
284.4874,dogal
253.5935,dogal
117.0696,dogal
101.421165,dogal
124.41915,dogal
157.1908,dogal
166.86147,dogal
58.93061,dogal
492.78522,dogal
122.914314,dogal
193.78468,dogal
124.457115,dogal
96.893486,dogal
230.19307,dogal
262.10388,dogal
263.72098,dogal
114.27013,dogal
134.54474,dogal
120.07546,dogal
310.3255,dogal
143.64803,dogal
375.80804,dogal
204.25787,dogal
98.578026,sakin
202.17212,sakin
169.66617,sakin
173.3069,sakin
69.53911,sakin
57.902035,sakin
98.64683,sakin
102.57273,sakin
51.776993,sakin
476.84113,sakin
61.212933,sakin
194.98705,sakin
85.16266,sakin
96.495094,sakin
140.52037,sakin
139.07619,sakin
201.2789,sakin
152.10257,sakin
70.31359,sakin
46.239773,sakin
240.03242,sakin
90.5221,sakin
170.13669,sakin
78.42385,sakin
106.06798,sakin
221.78906,sakin
176.82182,sakin
182.9684,sakin
44.341774,sakin
69.37094,sakin
93.29124,sakin
89.40259,sakin
60.184746,sakin
447.21744,sakin
76.22826,sakin
153.9892,sakin
89.06553,sakin
55.768826,sakin
163.29977,sakin
206.73238,sakin
255.65193,sakin
136.95578,sakin
78.21923,sakin
41.11693,sakin
280.57916,sakin
96.84448,sakin
164.1154,sakin
80.33526,sakin
158.80563,sakin
237.63184,sakin
189.33673,sakin
248.60568,sakin
66.82547,sakin
94.01067,sakin
108.61537,sakin
116.90186,sakin
102.103424,sakin
653.6059,sakin
109.21215,sakin
213.5989,sakin
83.58866,sakin
101.75888,sakin
222.46701,sakin
204.36298,sakin
289.93835,sakin
206.76341,sakin
82.562355,sakin
30.933065,sakin
275.44458,sakin
129.23178,sakin
257.0033,sakin
104.2707,sakin
160.0928,sakin
241.14604,sakin
543.01874,sakin
165.18924,sakin
119.3294,sakin
152.60838,sakin
112.047005,sakin
104.15184,sakin
66.26436,sakin
710.99786,sakin
86.15361,sakin
192.9409,sakin
75.55872,sakin
114.698494,sakin
181.93486,sakin
240.11433,sakin
322.86523,sakin
197.81975,sakin
76.123184,sakin
46.693893,sakin
283.93793,sakin
109.48232,sakin
230.2353,sakin
146.2408,sakin
95.94236,sakin
186.54156,sakin
297.25433,sakin
177.8395,sakin
78.13732,sakin
80.707115,sakin
121.700584,sakin
84.729355,sakin
28.851597,sakin
511.23123,sakin
65.84337,sakin
170.93443,sakin
81.17001,sakin
33.996758,sakin
180.6827,sakin
190.84386,sakin
242.67023,sakin
144.33238,sakin
203.79971,sakin
33.987587,sakin
247.96288,sakin
95.49113,sakin
251.3345,sakin
178.78944,sakin
108.51112,sakin
194.73369,sakin
516.0777,sakin
168.9437,sakin
35.48398,sakin
81.36319,sakin
120.71412,sakin
92.80127,sakin
42.54506,sakin
666.3196,sakin
59.111084,sakin
167.34836,sakin
106.96908,sakin
51.376926,sakin
184.5093,sakin
339.29422,sakin
164.071,sakin
130.88365,sakin
142.2174,sakin
32.322914,sakin
263.15402,sakin
117.24557,sakin
205.76378,sakin
124.18787,sakin
153.07536,sakin
228.62949,sakin
651.10364,sakin
211.35817,sakin
66.944,sakin
120.60678,sakin
176.46747,sakin
97.54557,sakin
93.07739,sakin
626.203,sakin
83.706566,sakin
197.13295,sakin
95.61416,sakin
57.555733,sakin
256.33658,sakin
191.30162,sakin
281.56754,sakin
167.11575,sakin
151.99928,sakin
33.544365,sakin
333.85068,sakin
100.59372,sakin
201.23799,sakin
137.44373,sakin
148.0936,sakin
227.0784,sakin
589.77844,sakin
196.38129,sakin
47.257423,sakin
89.88363,sakin
139.72334,sakin
108.104225,sakin
79.28194,sakin
397.26923,sakin
98.00043,sakin
196.195,sakin
102.28793,sakin
95.10099,sakin
