a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,Class
-697.98,55.23,0.32,12.78,7.4,0.87,-3.55,-2.83,-11.31,-2.52,0.5,-2.72,1.65,-3.43,0.14,1.07,-4.36,-1.58,-1.59,-0.66,-6.2,-0.26,-2.57,-4.3,-1.9,-0.61,-5.06,0.45,-2.33,0.32,-2.2,-1.97,-2.86,-1.7,-3.33,-1.43,-1.2,-1.67,-3.59,-1.46,01
-650.89,54.81,-9.42,8.74,-4.72,-3.44,-5.68,-8.29,-4.29,-0.58,-5.03,-1.69,-5.36,0.43,-7.14,-1.79,-3.04,-1.76,-1.72,-0.43,-0.52,-0.84,-0.8,1.15,-1.19,-2.0,-0.02,-0.51,1.53,1.26,0.12,3.25,1.87,4.4,2.1,2.89,-1.7,1.49,-0.94,0.86,01
-614.9,57.07,-3.01,10.99,3.91,-2.14,-12.36,-6.32,-3.47,-8.2,-2.27,-2.29,-5.29,-0.51,-6.26,-1.41,-4.96,-2.59,-2.23,-4.73,-4.42,-4.35,-4.17,-2.71,-4.46,-0.4,-2.76,-1.4,-2.8,-1.26,-1.7,-1.45,-1.6,0.9,-0.04,-1.06,-2.72,-1.95,-1.23,2.63,01
-696.05,43.33,-7.63,9.36,-4.54,-4.55,-6.91,-12.32,-7.68,-3.25,-3.61,-6.74,-4.89,0.74,-6.87,-3.13,-1.83,-0.58,-1.01,4.62,-1.7,1.3,-6.06,-2.05,-2.27,0.29,-0.2,3.62,1.33,3.51,-1.03,0.73,-2.14,1.68,1.85,2.59,0.91,0.91,3.66,4.93,01
-713.6,68.7,7.67,15.47,11.41,0.77,0.7,-2.45,-0.43,2.22,2.11,1.86,-0.49,1.49,0.19,4.2,-2.52,3.14,0.57,1.26,-0.9,2.02,-2.08,0.91,-0.54,-0.64,-0.24,1.26,0.63,0.13,-0.26,1.2,0.2,0.97,-0.08,2.66,-0.55,-1.06,-2.21,0.42,01
-736.31,51.34,-18.91,9.06,0.21,-9.8,-9.05,-9.54,-7.66,0.68,-6.69,-3.05,-7.71,-4.27,-7.65,-2.59,-5.12,-3.58,-5.7,-7.44,-1.38,1.87,0.21,2.44,-1.01,1.42,-1.44,2.24,3.08,7.16,3.67,6.85,3.3,6.26,3.44,4.54,0.69,0.29,0.91,4.06,01
-650.35,72.11,6.11,18.22,9.77,-1.96,-6.47,-7.27,1.79,-3.79,-3.77,-0.64,2.04,-4.86,-0.51,1.24,-6.92,1.24,-3.56,-0.92,-6.87,0.35,-3.92,-2.63,-3.1,0.55,-3.21,1.15,-4.4,-0.52,-5.14,0.47,-2.55,-0.49,-3.14,-2.3,-6.06,-2.64,-2.51,0.45,01
-689.16,63.49,8.35,22.2,6.85,2.59,5.51,-8.57,2.37,-1.31,1.93,-3.51,0.39,3.43,-1.94,0.84,-0.36,3.34,0.02,3.24,-1.75,3.35,-1.63,3.03,0.29,2.67,2.79,3.07,2.54,2.4,0.99,2.07,2.41,6.2,5.29,5.78,3.51,6.27,4.27,4.96,01
-737.76,91.7,21.96,32.6,22.04,9.96,5.02,6.16,6.67,7.07,-0.45,8.94,5.84,3.72,4.64,3.66,4.56,5.66,-1.16,8.27,1.84,2.68,-2.6,3.31,-0.24,3.63,0.54,1.39,0.98,2.05,0.37,3.31,-0.07,1.19,0.88,1.97,-1.36,-0.04,-2.7,0.6,01
-571.38,52.0,0.24,5.17,4.66,-3.11,-7.13,-7.31,-4.32,-0.94,-6.5,-2.92,-0.41,-4.15,-0.92,0.25,-2.37,-3.28,0.31,-4.3,-3.59,-0.72,-3.73,2.11,-3.36,4.49,-1.25,7.12,1.98,3.78,2.93,3.69,5.07,3.92,5.42,3.09,1.83,2.44,0.7,4.13,01
